LATITUDE,LONGITUDE,FIRE_DATE,AP_EN,PV_EN,COUNTRY,ISO3
19.74044933821978,99.24797560318044,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.740449073621736,99.24816669411662,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.740359267088778,99.24768882726056,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.74035900279779,99.24787991809374,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.740268005961475,99.24826195991896,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.74017767069118,99.24816627478232,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.7401775383177,99.2482618200878,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.7400873353677,99.2480705897533,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.74008720304583,99.24816613500576,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.74008707067301,99.24826168025744,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.740086938249235,99.24835722550834,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.739996603027407,99.24826154042783,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.739815800104303,99.24816571568071,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.738642882007227,99.24587083307787,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.738281142381588,99.24577473499969,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73819067470074,99.24577459658452,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73783657570064,99.24004140600243,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73774623595109,99.23994572690144,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737746107976733,99.24004127081945,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.7376626031508,99.23478622200636,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73766247792819,99.23488176591042,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737662227330148,99.2350728537164,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737662101954708,99.23516839761828,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737655768225626,99.23994559177302,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73757238568169,99.2345950020814,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73757213539057,99.23478608978414,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737572010168584,99.23488163363442,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73756542842139,99.23984991283422,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737565300499256,99.23994545664532,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73748204298783,99.23449932616889,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737481917919308,99.23459486996754,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73748179279984,99.23469041376546,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737481667629417,99.23478595756266,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73748154240806,99.23488150135913,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73747496069348,99.23984977776108,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73747483277197,99.2399453215184,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737391700240877,99.23440365036396,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73739157522392,99.23449919410956,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73739145015601,99.2345947378544,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73739132503716,99.23469028159852,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737391199867368,99.23478582534192,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737391074646627,99.23488136908458,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737390949374934,99.23497691282653,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73738385285081,99.24032736119877,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73730173203132,99.23402134358474,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737301607218765,99.23411688727944,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737301482355264,99.2342124309734,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73730135744081,99.23430797466663,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737301232475424,99.23440351835916,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73730110745909,99.23449906205094,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.7373009823918,99.234594605742,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73730085727357,99.23469014943232,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737300732104394,99.2347856931219,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73730060688428,99.23488123681076,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73730048161321,99.23497678049888,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73729351324827,99.24023168221136,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737211389023475,99.23392566815428,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73721126426248,99.23402121179588,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73721113945054,99.2341167554368,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737211014587665,99.23421229907696,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73721088967383,99.2343078427164,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737210764709054,99.2344033863551,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73721001385056,99.234976648172,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73720988852917,99.2350721918056,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737209763156837,99.23516773543848,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737203429584632,99.23994491614204,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73712092125311,99.23392553641996,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73712079649273,99.23402108000778,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737120671681414,99.23411662359489,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.737120546819146,99.23421216718124,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.73712042190594,99.23430771076686,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.72469362266316,99.31473102435864,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.724603323075183,99.31463531174302,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.72460315538068,99.31473084724124,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.724513191025583,99.31444406378851,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.72451302343373,99.31453959923492,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.724512855790948,99.31463513468036,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.72451268809728,99.3147306701248,2021-01-01,Chai Prakan,Chiang Mai,Thailand,THA
