LATITUDE,LONGITUDE,FIRE_DATE,AP_EN,PV_EN,COUNTRY,ISO3
19.72821045215717,99.26591792342452,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.72811998451754,99.26591777374796,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.728029516876983,99.26591762407224,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70618126357673,99.23359395035992,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70618113918027,99.23368947556644,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70618101473295,99.23378500077226,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70609314934932,99.23177884099496,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.7060912925662,99.2332117184178,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.706091168373792,99.23330724357352,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.706091044130524,99.23340276872852,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70609091983639,99.2334982938828,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.706002557822487,99.23187423580532,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.706002434342707,99.23196976091748,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.706000948618435,99.233116062207,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.7060008244775,99.23321158730974,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705911842715093,99.232065155566,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70591171913421,99.232160680623,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70591159550247,99.23225620567928,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70591147181988,99.23235173073486,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.7058214981466,99.23196950009978,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705821374617194,99.23206502510382,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705821251036927,99.23216055010712,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705821127405795,99.23225607510972,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705820879990984,99.23244712511271,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70582075620728,99.23254265011316,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70573115352512,99.23187384474096,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705731030047183,99.23196936969202,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705730906518387,99.23206489464236,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70573028811154,99.23254251938316,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.7057301642776,99.23263804432918,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70564080885064,99.23177818948956,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705640685424164,99.23187371438765,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705640561946844,99.23196923928498,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70564043841866,99.23206476418164,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70564031483962,99.23216028907753,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70564019120972,99.23225581397271,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705640067528964,99.23235133886718,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.705639820014884,99.23254238865394,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.70563969618155,99.23263791354624,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.673255803423302,99.29199568870985,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
19.673255492888977,99.2921866991736,2022-01-01,Chai Prakan,Chiang Mai,Thailand,THA
